Easton, Maine  Redline   Brightness and Temperature
Plate gap:  1.0320 FSR:   71.4248 bin units sensitivity: 60.00000[bin units*(adu/pixel)]*1/R
me241204   flats: me241204  quadratic background, Poisson weighting, ( sky  )   moon phase:  Waxing crescent 
avg. brightness Z (R):  137.6 +/- 77.7 avg. error:   3.9
avg. brightness N (R):    0.0 +/-  0.0 avg. error:   0.0  avg. brightness S (R):    0.0 +/-  0.0 avg. error:   0.0
avg. brightness E (R):    0.0 +/-  0.0 avg. error:   0.0  avg. brightness W (R):    0.0 +/-  0.0 avg. error:   0.0
avg. background Z (R):  203.0 +/- 98.0 avg. error:   2.1
avg. background N (R):    0.0 +/-  0.0 avg. error:   0.0  avg. background S (R):    0.0 +/-  0.0 avg. error:   0.0
avg. background E (R):    0.0 +/-  0.0 avg. error:   0.0  avg. background W (R):    0.0 +/-  0.0 avg. error:   0.0
     avg. temp. Z (K):  601.2 +/- 48.8 avg. error:   9.5
     avg. temp. N (K):    0.0 +/-  0.0 avg. error:   0.0  avg. temp. S (K):    0.0 +/-  0.0 avg. error:   0.0
     avg. temp. E (K):    0.0 +/-  0.0 avg. error:   0.0  avg. temp. W (K):    0.0 +/-  0.0 avg. error:   0.0
data quality: code=0 trustworthy;  code=1 be suspicious;  code=2 be dubious
Location latitude: 46.68, longitude: -67.88
SS-Analyze V05.03
 
 
 
 
image tmid Etime   AZ    ZN   signal Esignal   bkgnd  Ebkgnd   temp    Etemp  moon code
  #   hrs  hrs    deg   deg      R      R         R      R      K        K      %
 125 27.17 0.017   0.0   0.0   91.75   3.439   184.4    1.97  572.652  10.233 26.7  1
 126 27.21 0.017   0.0   0.0   92.99   3.485   185.9    1.99  613.807  11.006 26.7  1
 127 27.25 0.017   0.0   0.0   98.85   3.501   177.5    1.94  598.963  10.061 26.7  1
 128 27.28 0.017   0.0   0.0  111.16   3.576   162.8    1.87  611.668   9.211 26.7  1
 129 27.32 0.017   0.0   0.0  116.08   3.574   152.6    1.80  588.707   8.403 26.7  1
 130 27.44 0.017   0.0   0.0  126.26   3.683   154.0    1.82  600.362   8.083 26.8  1
 131 27.48 0.017   0.0   0.0  129.48   3.710   152.4    1.81  606.940   8.013 26.8  1
 132 27.52 0.017   0.0   0.0  120.44   3.728   174.3    1.94  630.874   9.151 26.8  1
 133 27.56 0.017   0.0   0.0  115.97   3.665   173.5    1.93  605.247   8.960 26.8  1
 134 27.60 0.017   0.0   0.0  112.10   3.615   169.0    1.91  616.791   9.335 26.8  1
 135 27.63 0.017   0.0   0.0  104.82   3.610   185.4    2.00  621.466  10.161 26.8  1
 136 27.67 0.017   0.0   0.0  114.12   3.645   171.8    1.92  616.698   9.243 26.8  1
 137 27.71 0.017   0.0   0.0  116.99   3.599   156.5    1.83  596.705   8.527 26.8  1
 138 27.75 0.017   0.0   0.0  113.14   3.593   161.0    1.86  617.381   9.163 26.8  1
 139 27.79 0.017   0.0   0.0  111.77   3.561   159.4    1.84  592.770   8.809 26.9  1
 140 27.91 0.017   0.0   0.0  122.78   3.553   132.0    1.68  594.422   7.866 26.9  1
 141 27.95 0.017   0.0   0.0  123.22   3.561   130.4    1.67  602.131   7.954 26.9  1
 142 27.98 0.017   0.0   0.0  130.61   3.590   122.2    1.62  603.083   7.513 26.9  1
 143 28.02 0.017   0.0   0.0  131.45   3.561   115.4    1.57  588.710   7.186 26.9  1
 144 28.06 0.017   0.0   0.0  129.59   3.528   112.3    1.55  586.824   7.190 26.9  1
 145 28.10 0.017   0.0   0.0  128.30   3.538   115.2    1.58  603.065   7.515 26.9  1
 146 28.14 0.017   0.0   0.0  119.88   3.523   134.1    1.69  575.120   7.735 27.0  1
 147 28.17 0.017   0.0   0.0  116.66   3.567   151.1    1.79  585.520   8.288 27.0  1
 148 28.21 0.017   0.0   0.0  115.27   3.610   161.1    1.86  612.813   8.957 27.0  1
 149 28.25 0.017   0.0   0.0  110.80   3.521   155.4    1.82  578.662   8.556 27.0  1
