Cachoeira Paulista (temp) Red Line Fabry-Perot  Brightness and Temperature
Plate gap:  1.0192 FSR:  108.9364 bin units sensitivity: 60.00000[bin units*(adu/pixel)]*1/R
br220308   flats: br220308  quadratic background, Poisson weighting, ( sky  )   moon phase:  First quarter ; 
avg. brightness Z (R):  217.7 +/-173.5 avg. error:   5.0
avg. brightness N (R):  353.9 +/-230.3 avg. error:   6.3  avg. brightness S (R):  223.0 +/-219.8 avg. error:   4.9
avg. brightness E (R):  226.2 +/-206.7 avg. error:   5.0  avg. brightness W (R):  359.6 +/-259.1 avg. error:   6.4
avg. background Z (R):   82.0 +/- 76.5 avg. error:   8.0
avg. background N (R):  109.9 +/- 55.3 avg. error:  11.6  avg. background S (R):   85.4 +/- 68.1 avg. error:   8.5
avg. background E (R):   88.0 +/- 95.7 avg. error:   8.9  avg. background W (R):  127.9 +/-102.5 avg. error:  12.9
     avg. temp. Z (K):  928.4 +/- 56.0 avg. error:  12.9
     avg. temp. N (K):  925.5 +/- 47.4 avg. error:   9.6  avg. temp. S (K):  929.6 +/- 49.1 avg. error:  13.6
     avg. temp. E (K):  926.9 +/- 49.1 avg. error:  13.0  avg. temp. W (K):  939.4 +/- 52.8 avg. error:  10.1
data quality: code=0 trustworthy;  code=1 be suspicious;  code=2 be dubious
Location latitude: -22.66, longitude: -45.01
SS-Analyze V05.02
 
 
 
 
image tmid Etime   AZ    ZN   signal Esignal   bkgnd  Ebkgnd   temp    Etemp  moon code
  #   hrs  hrs    deg   deg      R      R         R      R      K        K      %
 177 30.22 0.017  90.0  45.0  185.49   4.758    58.6   10.33  899.038   9.936 42.5  0
 178 30.26 0.017 180.0  45.0  196.64   4.901    63.4   10.73  878.687   9.437 42.5  0
 179 30.30 0.017 270.0  45.0  389.74   6.682    87.0   12.62  890.950   6.439 42.5  1
 180 30.40 0.017   0.0   0.0  198.10   4.872    58.1    1.46  894.281   9.404 42.6  0
 181 30.44 0.017   0.0  45.0  325.55   6.118    74.3   11.66  890.661   7.066 42.6  1
 182 30.48 0.017  90.0  45.0  182.24   4.739    61.2   10.47  882.803   9.920 42.6  0
 183 30.53 0.017 180.0  45.0  194.44   4.908    69.2    1.58  864.632   9.431 42.6  0
 184 30.57 0.017 270.0  45.0  359.58   6.455    86.1   12.55  888.339   6.750 42.6  1
 185 30.61 0.017   0.0   0.0  187.93   4.795    62.0    1.50  882.171   9.690 42.6  0
 186 30.65 0.017   0.0  45.0  280.43   5.700    68.7    1.59  887.010   7.622 42.6  1
 187 30.69 0.017  90.0  45.0  174.48   4.678    63.4   10.65  891.669  10.389 42.7  0
 188 30.73 0.017 180.0  45.0  191.71   4.833    61.9    1.50  886.741   9.614 42.7  0
 189 30.77 0.017 270.0  45.0  300.32   5.917    74.8   11.61  883.670   7.385 42.7  1
 190 30.87 0.017   0.0   0.0  157.64   4.387    51.7    1.37  875.726  10.482 42.7  0
 191 30.92 0.017   0.0  45.0  215.48   5.057    59.1   10.30  888.240   8.895 42.7  0
 192 30.96 0.017  90.0  45.0  144.44   4.307    60.6    1.47  872.829  11.374 42.7  0
 193 31.00 0.017 180.0  45.0  156.85   4.417    56.8    1.43  868.961  10.588 42.7  0
 194 31.04 0.017 270.0  45.0  228.69   5.220    65.6    1.55  887.103   8.643 42.8  0
 195 31.08 0.017   0.0   0.0  125.88   3.971    47.4    1.30  862.384  11.795 42.8  0
 196 31.12 0.017   0.0  45.0  169.55   4.598    61.9    1.49  875.191  10.279 42.8  0
 197 31.16 0.017  90.0  45.0  116.25   3.928    56.5    1.42  862.453  12.853 42.8  0
 198 31.21 0.017 180.0  45.0  125.58   4.023    53.6    1.38  869.037  12.176 42.8  0
 199 31.25 0.017 270.0  45.0  176.97   4.653    59.1    1.46  867.152   9.812 42.8  0
 200 31.35 0.017   0.0   0.0   93.53   3.514    44.3    1.26  866.827  14.342 42.8  0
 201 31.39 0.017   0.0  45.0  122.02   3.970    52.9    1.37  859.474  12.234 42.8  0
 202 31.43 0.017  90.0  45.0   86.30   3.471    52.1    1.35  844.389  15.185 42.9  0
 203 31.47 0.017 180.0  45.0   91.42   3.566    54.3    1.38  848.382  14.785 42.9  0
 204 31.51 0.017 270.0  45.0  115.36   3.860    50.6    1.34  848.089  12.417 42.9  0
 205 31.55 0.017   0.0   0.0   73.88   3.199    43.0    1.23  848.629  16.391 42.9  0
 206 31.60 0.017   0.0  45.0   94.15   3.544    47.6    1.29  840.623  13.972 42.9  0
 207 31.64 0.017  90.0  45.0   68.86   3.188    50.8    1.33  839.947  17.625 42.9  0
 208 31.68 0.017 180.0  45.0   75.39   3.306    50.4    9.37  869.221  17.239 42.9  0
