Arecibo Observatory Red Line Fabry-Perot  Brightness and Temperature
Plate gap:  1.0560 FSR:   84.7353 bin units sensitivity: 60.00000[bin units*(adu/pixel)]*1/R
ao220308   flats: ao220308  quadratic background, Poisson weighting, ( sky  )   moon phase:  First quarter ; 
avg. brightness Z (R):   49.9 +/- 30.8 avg. error:   2.6
avg. brightness N (R):   58.4 +/- 36.6 avg. error:   2.8  avg. brightness S (R):   61.5 +/- 35.4 avg. error:   2.8
avg. brightness E (R):   64.5 +/- 36.0 avg. error:   2.8  avg. brightness W (R):   54.9 +/- 37.8 avg. error:   2.7
avg. background Z (R):   52.9 +/- 21.1 avg. error:   1.3
avg. background N (R):   60.6 +/- 32.6 avg. error:   1.6  avg. background S (R):   52.5 +/-  9.3 avg. error:   1.3
avg. background E (R):   55.3 +/- 10.7 avg. error:   1.3  avg. background W (R):   62.1 +/- 25.6 avg. error:   1.6
     avg. temp. Z (K): 1097.8 +/-121.2 avg. error:  36.3
     avg. temp. N (K): 1094.1 +/-112.9 avg. error:  33.8  avg. temp. S (K): 1117.9 +/-107.8 avg. error:  30.1
     avg. temp. E (K): 1119.4 +/-103.0 avg. error:  31.8  avg. temp. W (K): 1096.4 +/- 96.6 avg. error:  35.7
data quality: code=0 trustworthy;  code=1 be suspicious;  code=2 be dubious
Location latitude: 18.35, longitude: -66.75
SS-Analyze V05.02
 
 
 
 
image tmid Etime   AZ    ZN   signal Esignal   bkgnd  Ebkgnd   temp    Etemp  moon code
  #   hrs  hrs    deg   deg      R      R         R      R      K        K      %
 148 30.63 0.017 180.0  45.0   63.14   2.840    55.1    1.30 1000.428  21.006 41.5  0
 149 30.67 0.017 270.0  45.0   72.37   2.951    51.6    1.27 1030.821  19.380 41.5  0
 150 30.79 0.017   0.0   0.0   81.18   3.112    55.7    1.32 1043.134  18.401 41.6  0
 151 30.84 0.017   0.0  45.0   45.13   2.677    70.1    1.44  973.385  28.009 41.6  0
 152 30.88 0.017  90.0  45.0  101.55   3.419    62.6    1.40 1029.000  15.806 41.6  1
 153 30.92 0.017 180.0  45.0   99.77   3.349    57.2    1.33 1015.259  15.458 41.6  1
 154 30.96 0.017 270.0  45.0   69.34   2.926    53.1    1.28 1043.109  20.413 41.6  0
 155 31.00 0.017   0.0   0.0   78.64   3.090    56.6    1.33 1059.042  19.238 41.6  0
 156 31.04 0.017   0.0  45.0   83.09   3.145    54.9    1.32 1092.937  19.056 41.6  0
 157 31.09 0.017  90.0  45.0  116.00   3.574    60.0    1.38 1057.626  14.716 41.7  1
 158 31.13 0.017 180.0  45.0   87.78   3.211    56.5    1.34 1067.113  17.914 41.7  0
 159 31.17 0.017 270.0  45.0   50.03   2.656    53.7    1.30 1098.576  27.815 41.7  0
 160 31.30 0.017   0.0   0.0   54.41   2.744    57.1    1.33 1057.400  25.321 41.7  0
 161 31.34 0.017   0.0  45.0   63.28   2.939    60.1    1.39 1156.804  25.500 41.7  0
 162 31.38 0.017  90.0  45.0   98.45   3.345    57.1    1.34 1055.474  16.323 41.7  0
 163 31.42 0.017 180.0  45.0   87.37   3.159    53.0    1.28 1012.236  16.661 41.7  0
 164 31.46 0.017 270.0  45.0   70.04   2.914    48.5    1.25 1108.160  21.326 41.8  0
 165 31.50 0.017   0.0   0.0   57.84   2.684    45.3    1.19 1047.595  22.589 41.8  0
 166 31.55 0.017   0.0  45.0   43.73   2.582    59.6    1.34 1023.602  29.147 41.8  0
 167 31.59 0.017  90.0  45.0   27.93   2.284    53.5    1.31 1182.449  48.188 41.8  1
 168 31.63 0.017 180.0  45.0   68.99   2.908    52.3    1.27 1021.286  19.919 41.8  0
 169 31.67 0.017 270.0  45.0   38.12   2.451    53.9    1.29 1089.042  34.005 41.8  0
 170 31.80 0.017   0.0   0.0   52.18   2.621    48.1    1.22 1047.246  24.726 41.8  0
 171 31.84 0.017   0.0  45.0   66.38   2.847    50.1    1.24 1012.627  20.082 41.9  0
 172 31.88 0.017  90.0  45.0   53.43   2.646    50.0    1.23 1004.095  23.330 41.9  0
 173 31.92 0.017 180.0  45.0   37.85   2.352    47.5    1.20  997.912  29.695 41.9  0
 174 31.96 0.017 270.0  45.0   24.91   2.130    51.1    1.23  990.794  41.895 41.9  1
 175 32.00 0.017   0.0   0.0   20.40   2.019    52.6    1.23  918.674  45.381 41.9  1
 176 32.05 0.017   0.0  45.0   18.93   2.108    73.6    1.40  737.247  41.422 41.9  2
 177 32.09 0.017  90.0  45.0   66.23   2.860    50.3    1.25 1058.278  21.202 41.9  0
 178 32.13 0.017 180.0  45.0   40.63   2.392    46.3    1.18 1000.944  28.022 41.9  0
 179 32.17 0.017 270.0  45.0   52.29   2.582    45.2    1.17 1007.581  23.218 42.0  0
 180 32.30 0.017   0.0   0.0   41.30   2.356    41.4    1.12 1008.368  27.133 42.0  0
 181 32.34 0.017   0.0  45.0   59.86   2.716    46.9    1.20 1005.901  21.153 42.0  0
 182 32.38 0.017  90.0  45.0   60.69   2.737    47.4    1.21 1013.873  21.198 42.0  0
 183 32.42 0.017 180.0  45.0   37.01   2.283    43.0    1.13  971.436  28.479 42.0  0
 184 32.46 0.017 270.0  45.0   42.69   2.408    44.0    1.16 1009.170  26.900 42.0  0
 185 32.51 0.017   0.0   0.0   34.80   2.216    40.7    1.10  971.713  29.435 42.0  0
 186 32.55 0.017   0.0  45.0   57.03   2.677    46.2    1.20 1037.107  22.655 42.1  0
 187 32.59 0.017  90.0  45.0   24.63   2.104    50.8    1.22  946.243  39.868 42.1  1
 188 32.63 0.017 180.0  45.0   24.28   2.076    48.2    1.19  965.629  40.682 42.1  1
 189 32.67 0.017 270.0  45.0   30.59   2.246    51.4    1.24  981.008  35.141 42.1  0
